epoch,kappa=1acc,kappa=50acc,kappa=150acc,kappa=175acc,kappa=200acc,kappa=500acc,kappa=1000acc
156,0.2091,0.8453,0.9227,0.9251,0.9265,0.9066,0.4625
157,0.2091,0.8468,0.9242,0.9268,0.9273,0.9067,0.4664
158,0.2091,0.8445,0.9246,0.9268,0.927,0.9074,0.4637
159,0.2091,0.8469,0.9247,0.9254,0.9285,0.9039,0.4651
160,0.2091,0.8477,0.9241,0.9278,0.9283,0.9039,0.4656
161,0.2091,0.848,0.923,0.9282,0.9287,0.9046,0.4643
162,0.2091,0.8486,0.9256,0.9275,0.9288,0.905,0.4665
163,0.2091,0.8466,0.924,0.9265,0.9292,0.909,0.467
164,0.2091,0.8489,0.9242,0.9272,0.928,0.9096,0.465
165,0.2091,0.8487,0.9254,0.9276,0.9278,0.9062,0.4619
166,0.2091,0.8466,0.9259,0.9264,0.929,0.9113,0.4657
167,0.2091,0.8456,0.9264,0.9252,0.9287,0.9079,0.4633
168,0.2091,0.8472,0.9259,0.926,0.9285,0.9082,0.4637
169,0.2091,0.8431,0.9257,0.9269,0.9284,0.911,0.4609
170,0.2091,0.8445,0.9252,0.9269,0.9284,0.9102,0.4631
171,0.2091,0.8457,0.9244,0.9288,0.9278,0.912,0.4656
172,0.2091,0.8447,0.9247,0.9301,0.9275,0.9123,0.4654
173,0.2091,0.8459,0.924,0.9286,0.9264,0.9155,0.4652
174,0.2091,0.8465,0.9273,0.9291,0.9288,0.9157,0.4667
175,0.2091,0.8475,0.9265,0.9301,0.9277,0.9149,0.4655
176,0.2091,0.8477,0.9271,0.929,0.9288,0.9179,0.4663
177,0.2091,0.847,0.9254,0.9278,0.9276,0.9125,0.4646
178,0.2091,0.8484,0.9265,0.929,0.9286,0.9142,0.4668
179,0.2091,0.8473,0.9253,0.9281,0.9271,0.9146,0.4673
180,0.2091,0.8483,0.9239,0.9268,0.927,0.9152,0.4671
181,0.2091,0.8481,0.9253,0.9279,0.9278,0.9144,0.4668
182,0.2091,0.8487,0.9245,0.9283,0.9284,0.9153,0.4645
183,0.2091,0.8479,0.9247,0.9257,0.9283,0.9138,0.467
184,0.2091,0.8509,0.926,0.9279,0.9297,0.9156,0.4672
185,0.2091,0.8522,0.925,0.927,0.9285,0.9155,0.4668
186,0.2091,0.8497,0.9267,0.9273,0.9291,0.9174,0.467
187,0.2091,0.8498,0.9252,0.9295,0.9281,0.9149,0.4672
188,0.2091,0.8508,0.9277,0.9273,0.9252,0.915,0.4652
189,0.2091,0.8512,0.9262,0.925,0.9283,0.9166,0.4651
190,0.2091,0.8505,0.9274,0.926,0.9288,0.9167,0.4663
191,0.2091,0.8519,0.9258,0.9264,0.9291,0.917,0.4644
192,0.2091,0.853,0.9277,0.929,0.9302,0.9175,0.4661
193,0.2091,0.8528,0.9255,0.927,0.9287,0.9207,0.4661
194,0.2091,0.8539,0.9257,0.9285,0.9298,0.9172,0.4671
195,0.2091,0.8549,0.9272,0.9302,0.9289,0.9186,0.4654
196,0.2091,0.8552,0.9255,0.9279,0.9312,0.919,0.4658
197,0.2091,0.8512,0.9252,0.9283,0.9309,0.9184,0.4669
